Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status
Keyp,https://www.crunchbase.com/organization/keyp,"B2B, Cyber Security, Identity Management, Infrastructure","Munich, Bayern, Germany",Keyp is an open digital identity ecosystem.,"22,897",3/31/17,day,https://keyp.io,contact@keyp.io,"Keyp unites 100+ identity solutions, 50+ partners and 10+ technology partners in their ecosystem: established and existing authentication, identification and integration solutions. All of these solutions can be accessed and compared in one place: the Keyp Marketplace.  Inside Keyp's platform, enterprises & organisations can simply choose the solutions and configure & publish their digital accesses via drag & drop in real-time through Keyp's Identity Platform. This is possible through providing enterprises with a KYC-SDK that can be easily integrated with their existing IAM systems or identity standards. Keyp is based on an open, decentralised and patent-pending identity framework.",500000,USD,500000,Seed
"Monarx, Inc.",https://www.crunchbase.com/organization/monarx-inc,"Cloud Security, CMS, Cyber Security, Network Security, SaaS, Software, Web Hosting","Salt Lake City, Utah, United States",Cloud-Delivered Backdoor/Web Shell Prevention for Open-Source CMS (Content Management Systems),"14,370",4/1/17,month,http://www.monarx.com,sales@monarx.com,"Monarx protects web environments against attack. Our cloud delivered server protection provides continuous real-time malicious script detection and proactive prevention without using signatures. We also offer a free hunting and remediation engine for web shells/backdoors. Our solution hardens servers and applications reducing the attack surface, by providing actionable intelligence about web security posture based on real world best practices. Monarx is leading the way in non-signature based post exploit prevention.",7300000,USD,7300000,Seed
@RISK Technologies,https://www.crunchbase.com/organization/risk-technologies,"Artificial Intelligence, Big Data, Cyber Security, Finance, Machine Learning, SaaS","Dallas, Texas, United States",@RISK Technologies is Cognitive Cyber Security Management SaaS Company.,"18,359",4/1/17,day,http://atrisktech.com,info@atrisktech.com,,6300000,USD,6300000,Seed
WebTotem,https://www.crunchbase.com/organization/webtotem,Cyber Security,"Tallinn, Harjumaa, Estonia",WebTotem is a SaaS which provides powerful tools for securing and monitoring your website in one place in easy and flexible way.,"61,215",4/1/17,day,https://wtotem.com,os@wtotem.com,"WebTotem is a website security platform with Automated Incident Response as a service for startups, e-commerce and even entire countries.  Based on world statistics approx. 90 percent of organizations are vulnerable through their web sites. Every second 3-4 websites are getting hacked, losing their clients and, thus, their money.  WebTotem is a service which helps prevent most website cyber attacks, increases the defence barrier without requesting any special knowledge from the user, allowing him to monitor all activities on his website and most importantly it works without any human interaction. We are currently monitoring nearly 140 000 websites for one of our clients and use data from this as a learning model for cyber attack prevention in the entire country.",345261,USD,345261,Seed
QBRICS,https://www.crunchbase.com/organization/qbrics,"Blockchain, Cyber Security, Health Care, Logistics, Quantum Computing","Park City, Utah, United States",QBRICS is an enterprise blockchain platform that focuses on interoperability with a product suite.,"48,243",4/3/17,day,http://qbrics.com,info@qbrics.com,"QBRICS is an enterprise blockchain platform that provides data governance through quantum computing resistant encryption, attribute-based access control, and interoperability among disparate versions of blockchain protocols. Because of the comprehensive nature of the QBRICS platform, the enterprise can accelerate the deployment of blockchain, focusing on the business application rather than the underlying technology.  Because of our interoperability of our platform, developers will be able to build once, knowing their applications will work with any QBRICS enabled flavor of blockchain.",20000,USD,20000,Seed
"Trustcom, Ltd",https://www.crunchbase.com/organization/trustcom-ltd,"Cyber Security, Information Technology, Mobile, Risk Management, Security, Training","Nairobi, Nairobi Area, Kenya",Cyber Security Company,"129,159",4/10/17,day,http://trustcom.co.ke,info@trustcom.co.ke,"Kenya's Cyber Security Company that offers wide variety of solutions to meet our clients needs.  These include; mobile security, mal ware and antivirus, SIEM, end point security, email security, data protection, risk management, and security and awareness training",1000,USD,1000,Seed
NuID,https://www.crunchbase.com/organization/nuid-inc,"Blockchain, Cyber Security, Identity Management, Network Security, Security, Software","San Francisco, California, United States",Trustless Authentication | Trusted Identity,"13,399",4/19/17,day,https://nuid.io/,info@nuid.io,"NuID is a pioneer in trustless authentication and decentralized digital identity. The NuID platform leverages zero knowledge cryptography and blockchain technology to eliminate the need for businesses to store passwords and other authentication credentials. NuID’s unified protocol for strong authentication supports passwords, tokens, and biometrics—enabling businesses to reduce security risks and streamline user experience. Our mission is to end wide-scale credential breaches by returning data ownership to the individual.",4140000,USD,4140000,Seed
Devcon Detect,https://www.crunchbase.com/organization/dev-con-detect,"Artificial Intelligence, Cyber Security, FinTech, Fraud Detection, Information Technology","Memphis, Tennessee, United States",DEVCON DETECT is Cyber Security Company developing anti-fraud and anti-money laundering software for the online advertising industry,"11,239",5/1/17,day,http://www.devcondetect.com/,mlouie@devcondetect.com,"DEVCON is a cyber security company, developing anti-fraud/anti-money laundering software for advertising and publishing industry. In 2017 the industry lost $9 Billion to ad fraud. This year that number has more than doubled. $19 billion in projected losses. $19 Billion in theft. Our software has the potential to save the industry billions each year.  The company is based in Memphis, Atlanta, USA and London",5840000,USD,5840000,Seed
Trustifi,https://www.crunchbase.com/organization/trustifi,"Cyber Security, Enterprise Software, Management Consulting, SaaS, Service Industry","Las Vegas, Nevada, United States","Trustifi is a software-as-a-service (SaaS) company offering a patented email encryption, tracking and patented email postmarking service.","17,020",5/1/17,month,https://trustifi.com,info@trustificorp.com,"Trustifi is an email visibility and security company providing a SaaS solution that protects businesses from email vulnerabilities and compliance risks. Basic email is extremely vulnerable to being breached because cybercriminals are always looking to steal private and Personally Identifiable Information (PII). As stolen data is worth a lot of money, it results in real harm to the victims when information is exposed, plus, big ¬fines for the companies who unintentionally expose it. Trustifi’s easy-to-use solution provides certified and Postmarked proof of email delivery with built-in email encryption and security for the ultimate in email visibility & protection. With Trustifi, sent emails are tracked and legally Postmarked with records of delivery and exact content delivered. Plus, visibility to when the email is opened, by whom, in real-time. Trustifi uses 256-bit military-grade encryption to secure outgoing emails and recipients are able to open encrypted emails with ease, without downloading or using special software to receive, open and reply encrypted. Trustifi also adds many layers of email security with such features as: Fraudulent Email Detection - Trustifi alerts users when incoming scam emails, designed to look legitimate for the purposes tricking employees into wiring money or clicking malware links, are of a fraudulent nature and, Content Filtering Protection - Trustifi scans the content of an email as it’s being written and if the email contains any sensitive words or phrases that should be encrypted, the sender is alerted to the fact that Trustifi’s automatic encryption has been triggered.",4000000,USD,4000000,Seed
Meterian,https://www.crunchbase.com/organization/meterian,"Cyber Security, Enterprise Software, Software","London, England, United Kingdom",Meterian is the simple and straightforward way to assess how secure are your software components.,"35,733",5/1/17,month,https://www.meterian.io/,info@meterian.io,"Meterian finds software vulnerabilities originating from open source components, providing a one-stop shop to easily, efficiently and affordably reduce security risks before software is released into production.",300000,GBP,396702,Seed
"Encriptame Inc, a C Type company.",https://www.crunchbase.com/organization/encriptame,"Cyber Security, Information Services, Information Technology, Parenting, Social Impact","New York, New York, United States","Encriptame, security made easy.","94,523",5/1/17,day,https://www.encriptame.com,info@encriptame.com,"Encriptame enables security solutions through engineering practices in order to support a healthier Internet, and a better world.",20000,USD,20000,Seed
Cynch Security,https://www.crunchbase.com/organization/cynch-security,"Cyber Security, Information Technology","Docklands, Victoria, Australia",Cyber fitness program for digital small businesses,"66,049",5/15/17,day,https://cynch.com.au,susie@cynch.com.au,"An online cyber fitness platform for digital small businesses. We take the complexity out of cybersecurity for business owners, enabling them to build cyber resiliency gradually over time by following our tailored program. By combining plain language advice and education, cyber risk assessment and cybersecurity products and services, small businesses are able to demonstrate their improvement in security to their customers, partners and regulators.",50000,AUD,36323,Seed
TODAQ,https://www.crunchbase.com/organization/todaq,"Blockchain, Cyber Security, Financial Services, Privacy, Virtual Currency","Toronto, Ontario, Canada",Everyone's decentralized mobile marketplace,"106,834",5/31/17,day,https://www.todaqfinance.com,hassan.khan@todaqfiannce.com,"TODAQ is powered by the TODA protocol, a decentralized, distributed, layer zero, ledger-less blockchain that scales to billions of users and handles millions of on-chain transactions per second at less than 0.1% cost. TODAQ provides a mobile marketplace that allows merchants and consumers to securely and privately own any type of digital asset and frictionlessly transact them peer-to-eer with any other phone on earth.   TODAQ enables P2P 2-way atomic swap exchanges without depending on third parties, such as exchanges.  ",,,,Seed
Corsha,https://www.crunchbase.com/organization/corsha,"Cyber Security, Identity Management, IT Infrastructure, Security, Software","Vienna, Virginia, United States","Multi-factor authentication that is more secure, invisible to the end user, and eliminates any central storage of security or personal data.","36,388",6/1/17,month,http://www.corsha.com,info@corsha.com,,1000000,USD,1000000,Seed
BUDFOX MESSENGER LTD,https://www.crunchbase.com/organization/budfox-messenger-ltd,"Apps, Cyber Security, Financial Services, Messaging, Mobile Apps, Privacy, Private Social Networking, Security, Social Media","London, England, United Kingdom",Budfox Messenger is the first encrypted messaging app exclusively for the financial sector. ,"42,541",6/1/17,day,https://www.budfox.io,info@budfox.io,"Welcome to the Financial Social Network. Budfox is the first free and secure messaging app for traders and the world of finance. First, you must work in a financial company or organization (regardless of your position) to register on Budfox. The app proposes a secure chat and group.   Budfox helps to identify and build your network, find partners, and share your products and services. Budfox keeps your communication safe. We can’t read your messages or media files, and you are entirely free to clear all chats history and create a secret chat that you can set to disappear (self-destruction timer). End-to-end encryption (Signal E2EE) conversation is in progress later this year. Last but not least, Budfox is not own by any bank or commercial organization, to provide total independence without any conflict of interest. Unlike Bloomberg Messenger and Symphony, Budfox is owned by independents and was created by a former trader. We want to democratize instant messaging for the world of finance, as WhatsApp has done globally.",500000,USD,500000,Seed
Nimis Cybersecurity,https://www.crunchbase.com/organization/nimis-cybersecurity,"Artificial Intelligence, Cyber Security, Enterprise Software, Machine Learning","Melbourne, Victoria, Australia",Techstars backed cybersecurity company using artificial intelligence to provide real time penetration testing,"163,123",6/1/17,day,https://nimis.ai,cyber@nimis.ai,Techstars backed cybersecurity company using artificial intelligence to provide real time penetration testing,,,,Seed
TruGrid,https://www.crunchbase.com/organization/trugrid,"Cloud Computing, Cyber Security, Enterprise Software, Internet, Software","Schaumburg, Illinois, United States",Simple & Secure Workspaces. VDI. Desktops Anywhere. SaaS. Cloud Scalability.,"48,288",6/8/17,day,https://www.trugrid.com,info@trugrid.com,"TruGrid secures and simplifies corporate-wide access to Enterprise Workspaces – including desktops, applications, and websites – hosted anywhere. TruGrid includes multi-tenant dashboard for Services Providers, and fully-integrated security for all users. TruGrid can be implemented in minutes.",480000,USD,480000,Seed
Arvata,https://www.crunchbase.com/organization/arvata,"Analytics, Cyber Security, Developer APIs, Enterprise Applications, Identity Management","Atlanta, Georgia, United States","Arvata is an innovative platform to solve an enterprise's most challenging API security, integration, and governance requirements.","123,472",6/9/17,day,http://www.arvata.io,ryan@arvata.io,"Arvata is an innovative platform to solve an enterprise's most challenging API security, integration, and governance requirements. ",,,,Seed
Alertot,https://www.crunchbase.com/organization/alertot,"Cyber Security, Penetration Testing","Santiago, Region Metropolitana, Chile",Identify your security problems before hackers do. Early detection of vulnerabilities and continuous assessment,"103,657",6/14/17,day,https://www.alertot.com,webcontact@alertot.com,"Hackers attack minutes after a new vulnerability is published. Alertot helps to decrease exposure time in organizations notifying new issues when they are disclosed. Don't wait for updates, stay one step ahead and track your vulnerabilities continuously and early.",35000,USD,35000,Seed
Hack The Box,https://www.crunchbase.com/organization/hack-the-box,Cyber Security,"Folkestone, Kent, United Kingdom","Hack The Box is a platform allowing you to test your penetration testing skills, exchange ideas & methodologies with the community.","18,501",6/20/17,day,https://www.hackthebox.eu,info@hackthebox.eu,,1300000,USD,1300000,Seed
Habitu8,https://www.crunchbase.com/organization/habitu8-inc,"Cyber Security, SaaS, Security, Software","Torrance, California, United States",Habitu8's mission is to educate and empower every enterprise worker to protect themselves and their company from cyber security threats.,"94,329",6/30/17,day,https://www.habitu8.io/,info@habitu8.io,We believe in security training you don’t have to apologize for. Get people talking about security and create habits with humor!,,,,Seed
ProcessBolt,https://www.crunchbase.com/organization/processbolt,"Cyber Security, Risk Management, Supply Chain Management","Minneapolis, Minnesota, United States",AI Powered Client/Vendor Risk Assessment Platform,"31,376",7/1/17,month,https://processbolt.com/,hello@processbolt.com,"ProcessBolt empowers the enterprise supplier risk management process by replacing spreadsheets and emails with AI powered interactive questionnaires, process tracking, notifications, alerting, data driven dashboards and risk metrics. Enterprise: Full visibility to supplier risk and assessment status. Suppliers: Painless, intuitive and easily repeatable client risk assessments. Risk Management Professional: One simple platform saving time and dollars. Purpose built workflow to ease risk assessment process. Pre-configured and easily customizable assessment templates (BITS SIG, GDPR readiness, PCI SAQ, and more). Quickly attach evidence and artifacts to assessments. Meaningful notifications and alerts. ",470000,USD,470000,Seed
Lattice Security,https://www.crunchbase.com/organization/lattice-security,"Artificial Intelligence, Cyber Security, Developer APIs, Enterprise Software, FinTech, Health Care, Machine Learning, SaaS","San Jose, California, United States",Instant Protection for sensitive data,"119,514",7/5/17,day,http://www.latticesecurity.io,info@latticesecurity.io,"Lattice Security enables collaboration by protecting data the moment it is created allowing the employees to work from anywhere, anytime. A SaaS platform that classifies the data the moment it is created using AI and then can encrypt and control who has access to it when they use specific applications. The key insight we bring is informing enterprise customers the value of the data being created/shared/accessed and how it is protected against data breaches. ",,,,Seed
adbonitas,https://www.crunchbase.com/organization/adbonitas,"Cyber Security, SaaS, Software","Cologne, Nordrhein-Westfalen, Germany",Adbonitas is an internet security company that aims to make digital a safer space for brands.,"58,944",7/10/17,day,http://www.adbonitas.com,team@adbonitas.com,,500000,EUR,597250,Seed
Badrap,https://www.crunchbase.com/organization/badrap,"Cyber Security, Information Technology, Security","Oulu, Oulu, Finland",Security information for all.,"67,144",7/11/17,day,https://badrap.io,contact@badrap.io,"We make security information accessible for everyone.  Society and individuals need safety to progress and prosper. Regular people need help with their cyber security, and we see security experts with information and ability to help. We also see victims, who are attacked via hacked devices. We are creating a place for them to meet and warn each other.",244000,EUR,299054,Seed
Beetles Cyber Security Ltd.,https://www.crunchbase.com/organization/beetles,"Cloud Security, Consulting, Crowdsourcing, Cyber Security, Network Security, Penetration Testing, Security","Dhaka, Dhaka, Bangladesh","We harden application layer security with a bespoke security program, conducted with selected researchers from our Global Pool.","31,717",7/13/17,day,https://beetles.io/,info@beetles.io,"The internet has been a boon and an inseparable partner in our modern lives, but it has its own disadvantages as well. Criminals are now faceless and seemingly traceless. The bigger weapon now is not a gun, but a keyboard. From malicious codes to Trojans to phishing and organized crimes (data theft, DoS, DDoS) are the new threats we face every day. The new criminal hides in the Deep Web, without a face or a name, waiting, only but a keystroke away. The threat is very real and the danger of being attacked is imminent. Beetles has been created with the sole purpose of warding off these criminals, safeguarding the clients’ data, both personal and professional from such attacks and ensuring that no Revenue or Business Impact befalls the client.",20000000,BDT,237853,Seed
Ockam,https://www.crunchbase.com/organization/ockam,"Blockchain, Cloud Computing, Cyber Security, Data Integration, Developer Platform, Enterprise, Internet of Things, Security","San Francisco, California, United States",Ockam offers tools that help builders to create IoT systems they can trust.,"4,968",7/18/17,day,https://www.ockam.io,hello@ockam.io,Ockam offers tools that help builders to create IoT systems they can trust. Its products enable developers to establish an architecture for trust within their applications. The Ockam SDK makes it simple to interconnect secure hardware with software services to facilitate the trustful exchange of information within connected systems.,3500000,USD,3500000,Seed
Cyabra,https://www.crunchbase.com/organization/cyabra,"Cyber Security, Information Services, Natural Language Processing, SaaS, Social Media","Tel Aviv, Tel Aviv, Israel",Cyabra protects brands and public identities against disinformation threats (i.e fake news),"15,326",8/1/17,month,https://www.cyabra.com,info@cyabra.com,"Cyabra protects brands and governmental institutions from online disinformation threats (i.e fake news). Cyabra has raised more than $1.5M, and was chosen out of hundreds of startups to take part in the annual commercialization worldwide program led by Coca-Cola, Turner, Walmart, and Mercedes-Benz. The company consists of a team with a strong legacy from the IDF (Israeli Defense Forces) Special Operations Department, having over 30 years of cumulative experience in cybersecurity, and board advisors such as Ram Ben Barak (former Deputy Director of the Mossad).",1000000,USD,1000000,Seed
Ultra Auth,https://www.crunchbase.com/organization/deauthorized,"Biometrics, Cyber Security, Identity Management, Information Technology, SaaS, Software","Austin, Texas, United States",Ultra Auth is a FIDO UAF product that helps prevent account takeover with private and encrypted biometric authentication.,"53,328",8/1/17,month,https://www.ultraauth.com/,,"Ultra Auth is a Fido UAF product that helps businesses prevent account takeover with decentralized, secure, biometric authentication. We have built a SaaS product, a Fido UAF server with OpenID Connect, and 2 mobiles apps with Fido UAF libraries as a part of the software suite.",40000,USD,40000,Seed
IDenfy,https://www.crunchbase.com/organization/idenfy,"Cyber Security, Identity Management, Online Portals","Kaunas, Kauno Apskritis, Lithuania",iDenfy software makes online identity verification through smartphone or any computer device.,"27,146",8/25/17,day,https://www.idenfy.com/,info@idenfy.com,"IDenfy is an online identity verification company, helping to reduce frauds and makes business smoother and more profitable. They created their product to help businesses comply with AntiMoney Laundering (AML), Know Your Customer (KYC) rules and support electronic identity verification requirements (eIDV).  IDenfy goal is to turn your customer’s smart-phone (iOS and Android) or computer into an ID scanning terminal that makes it fast and easy to capture and verify their ID and other credentials to meet KYC requirements. Real-time ID scanning and verification is applied on websites and mobile applications helping reduce risk and minimize fraud for online transactions. ",350452,USD,350452,Seed
Trustwire,https://www.crunchbase.com/organization/trustwire,Cyber Security,"Gaithersburg, Maryland, United States",Incredibly simple strong end-to-end encryption for secure file exchange. Enabling strong encryption for everyone.,"139,097",8/29/17,day,https://www.trustwire.com,hhall@trustwire.com,"Trustwires enables ALL Internet users to exchange sensitive/confidential files securely using strong PKI-based end-to-end encryption which, until now, was only accessible to tech-savvy users.  Trustwire hides the complexity of PKI-based encryption from users and created a simple-to-use tool that makes strong end-to-end encryption accessible to everyone.",,,,Seed
Enginsight,https://www.crunchbase.com/organization/enginsight,"Cyber Security, IT Management, SaaS, Software","Jena, Thuringen, Germany",Enginsight is an integrated solution for IT monitoring and cyber security.,"35,423",8/30/17,day,https://enginsight.com,hello@enginsight.com,"Enginsight GmbH was founded in August 2017. With a highly motivated team, they are working together on the vision of providing companies with a solution that will enable them to safely and confidently navigate the digital future. Enginsight helps leading companies autonomously monitor and secure their entire IT landscape. Certified and highly trained employees form the heart of Enginsight, together with partner companies around the globe. They analyze and monitor complete IT landscapes – recognize the connections and dependencies between websites and servers up to IoT-devices. The innovative software platform acts autonomously and points out the critical paths, risks and threats.",420000,EUR,505184,Seed
ATAR Labs,https://www.crunchbase.com/organization/atar-labs,"Cyber Security, Information Services, Information Technology, Security","London, England, United Kingdom",ATAR Labs builds next generation SOAR platforms. ATAR helps SOCs become more vigilant and effective while helping them achieve more.,"25,403",9/1/17,day,http://www.atarlabs.io/,info@atarlabs.io,"ATAR Labs builds next generation Security Orchestration, Automation and Response (SOAR) platforms. Our flagship product ATAR helps SOC teams to become more vigilant and effective while helping them achieve more. ATAR has integrations with more than 100 different technologies and orchestrate and automate investigation and response activities spanning those platforms and more.",2500000,EUR,2987500,Seed
HyperQube,https://www.crunchbase.com/organization/cyber-academy-c063,"Cyber Security, Information Technology, Training","Washington, District of Columbia, United States",HyperQube is a cyber range as a service offering that enables enterprises to quickly and easily build an exact copy of IT infrastructure.,"29,289",9/1/17,day,https://hyperqube.io/,,"HyperQube is a “cyber range as a service” offering that enables enterprises to quickly and easily build an exact copy of any IT infrastructure. Their virtualized test environments can be built in minutes and just as easily modified, re-used and shared. With the ability to look to the future and explore infrastructures in a risk-free environment, engineers will save hours on labor, security officers will feel assured and executives will conserve thousands of dollars.",575000,USD,575000,Seed
Hmatix Inc,https://www.crunchbase.com/organization/hmatix,"Cyber Security, Health Care, Information Technology, Security","Sunnyvale, California, United States",Stealth cyber-security startup for Health Care,"44,862",9/1/17,day,http://hmatix.com,info@hmatix.com,,500000,USD,500000,Seed
Axius,https://www.crunchbase.com/organization/axius,"Cyber Security, Internet of Things, IT Management, Smart Building","San Francisco, California, United States",Smart Home Management and Cyber Security,"112,804",9/1/17,day,https://www.axi.us,hello@axi.us,"The Smart Home is here and homeowners are going to be overwhelmed with connected devices.  Axius simplifies the entire process of managing a Smart Home from delivery to security to support. We distribute our service via Builders, Integrators, and Property Managers who benefit from a dedicated partner and Smart Home expert to assist with project implementation and homeowner support. Axius’ customized services save time and money while increasing homeowner satisfaction.  Our unique combination of hardware, software, and best-in-class IT support offers a personalized, remote service solution for ""smart"" homeowners across all of their connected devices. Homeowners enjoy the value technology brings to their homes with Axius as their single point of contact to handle any questions or complexities. The result is a thriving Smart Home with the best products selected, all devices connected, and the network protected.  Learn more about us at https://www.axi.us.",,,,Seed
GuardRails,https://www.crunchbase.com/organization/guardrails,"Cyber Security, Developer Tools, Internet, Productivity Tools, Security","Singapore, Central Region, Singapore","GuardRails is a platform that empowers developers to find, fix, and prevent security vulnerabilities in their web and mobile applications.","118,647",9/1/17,day,https://www.guardrails.io,hello@guardrails.io,"GuardRails is a platform that empowers developers to find, fix, and prevent security vulnerabilities in their web and mobile applications. They are a team of developers and security experts. Our mission is to empower development teams around the world to move fast and stay safe.",,,,Seed
PropCoin,https://www.crunchbase.com/organization/propcoin,"Cryptocurrency, Cyber Security, Security","London, England, United Kingdom",A truly asset-backed cryptocurrency business,"161,324",9/1/17,day,http://www.prop-coin.com/,hello@prop-coin.com,"PropCoin provides investors with the opportunity to obtain passive exposure to cryptocurrencies, whilst benefiting from the stability of an asset-backed security. PropCoin also allows investors the opportunity to hedge against volatility in the cryptocurrency markets, without incurring the frictional costs of converting their holdings into fiat.",,,,Seed
Augmenta Cyber Security,https://www.crunchbase.com/organization/augmenta-cyber-security,"Cloud Data Services, Cyber Security, Data Visualization, Information Technology, SEM, Simulation, Software, Virtualization","Gaborone, South-East, Botswana","Cyber-security, Safe data storage, SCADA security, SAP Security, DLP, e2ee","76,589",9/22/17,day,https://www.augcyba.com,info@augcyba.com,"Augmenta, a cyber security company, is at the helm of adapting a cyber security climate that is in-sync with the pace of change of the world and Africa's integration into the global economy, soon, we will be developing our proprietary solutions.",500000,BWP,47546,Seed
Awen Collective Ltd,https://www.crunchbase.com/organization/awen-collective-ltd,"Cyber Security, Data Visualization, Industrial, Risk Management","Cardiff, Cardiff, United Kingdom",Software company reducing the costs of cyber-threats to critical national infrastructure & advanced manufacturing.,"111,042",9/25/17,day,https://www.awencollective.com/,hello@awencollective.com,"Awen Collective is reducing the cost of cyber-threats to critical national infrastructure and advanced manufacturing by producing digital forensics & incident response software. Awen Collective provide the opportunity for owners and operators of cyber-physical systems to address their cyber risks in a cost-effective manner.  Awen Collective provides software which simplifies the whole Digital Forensics & Incident Response (DFIR) lifecycle within cyber-physical systems, leading to more robust cyber-security and a greater level of cyber incident readiness. Our software is specifically developed to ensure that teams can make the most out of their budget through the prioritisation of addressing risk.",,,,Seed
Kalepso,https://www.crunchbase.com/organization/kalepso,"Big Data, Cyber Security, Database, Information Services, Information Technology, Machine Learning, Privacy","Montréal, Quebec, Canada","Kalepso unlocks the power of sensitive big data and data sharing, through patent-pending privacy.","33,405",10/1/17,month,https://www.kalepso.com,info@kalepso.com,"With IP based on research at Harvard, Kalepso featured the TechCrunch Disrupt Finals after raising funds from TandemLaunch Inc. Kalepso's platform produces on-demand compliance-ready datasets, for secure analytics and ML. In this way, organizations can simplify their compliance (incl. GDPR), utilize data across team, and securely monetize their data-lakes. Through its patent-pending IP, any complex SQL query can be answered in a range of anonymization levels, after the data has been merged dynamically.",800000,CAD,640959,Seed
Cydarm,https://www.crunchbase.com/organization/cydarm,"Cyber Security, Information Technology, Security","Docklands, Victoria, Australia",Cydarm is a secure case management platform for cybersecurity incident response.,"34,954",10/1/17,month,https://cydarm.com/,,"Cydarm is secure by design. They know that cybersecurity is a team sport, and success requires collaboration at different levels of trust. Cydarm's attribute-based access control model provides flexible collaboration. The value of a collaborative incident response platform increases with the number of users. They believe in providing fair and predictable licensing that won't surprise you with a cost overrun, so they charge per user. Contact an expert to learn how Cydarm can provide value in your SOC. Cydarm is interoperable with other vendor products. Every organization has a different cybersecurity technology stack and they know you will want to customize your workflows. Cydarm has an open API, and is easy to integrate with your existing technology stack. Cydarm can be deployed anywhere. Whether you prefer to maintain your security stack on-premises or in the cloud, Cydarm will meet your requirement. Cydarm is deployed using Docker containers, so all you need is a Docker host environment.",550000,AUD,399934,Seed
Apility.io,https://www.crunchbase.com/organization/apility-io,"Big Data, Cyber Security, Developer APIs, Reputation","Tallinn, Harjumaa, Estonia",Minimal and Simple Anti-Abuse API. Learn easily if your users are on an anti-abuse blacklist so that you can decide how to proceed.,"48,859",10/1/17,day,https://apility.io,marketing@apility.io,"Apility.io is a Lookup as a Service for developers and product companies that want to know in real-time if their existing or potential users have been classified as 'abusers' by one or more of these lists. Automatic extraction processes extract all the information in real-time, keeping the most up to date data available, saving yourself the hassle of extract and update regularly all these lists and the data. Some the available features are: - IP blacklisted due to abuse or fraud: We consolidate several IP blacklists worldwide to help you know if the source is reliable or not. - Emails and Domains not trustable: We analyze emails and domains and scores them based on our blacklists and algorithms. - Customizable blacklists and algorithms: Not all business need to be as restrictive as others. Choose the level of trustability. - Superfast API queries: Get the response your application needs in milliseconds thanks to all our servers worldwide. ",500000,EUR,594649,Seed
SCYTHE,https://www.crunchbase.com/organization/scythe,"Cyber Security, Enterprise, Risk Management","Arlington, Virginia, United States","Attack Simulation Platform, Breach Automated Simulation, Vulnerability Management, Security Instrumentation","15,428",10/17/17,day,https://www.scythe.io,info@scythe.io,Video Demo: https://vimeo.com/285518200,3000000,USD,3000000,Seed
Clearedin,https://www.crunchbase.com/organization/clearedin,"Artificial Intelligence, Cyber Security, Machine Learning, SaaS","Los Altos, California, United States",Solve Phishing by Building the Business Graph of Every Corporate Communication,"4,074",11/1/17,month,https://www.clearedin.com,team@clearedin.com,,4750000,USD,4750000,Seed
GitGuardian,https://www.crunchbase.com/organization/gitguardian,"Cloud Security, Computer, Cyber Security, Software","Paris, Ile-de-France, France",GitGuardian is a cybersecurity start-up embarked on a mission to take credentials out of source code.,"97,407",11/1/17,month,https://gitguardian.com,contact@gitguardian.com,"Detect secrets in source code, public and private.",,,,Seed
CyberRed,https://www.crunchbase.com/organization/cyberred,Cyber Security,,Protect IoT endpoint and communication for healthcare,"144,371",11/1/17,day,https://www.cyberred.net,baruch@cyberred.net,"CyberRed develops a unique and innovative solution for addressing the growing global threats of IoT devices from cyber-attacks. Our technology provides a point of entry, early detection, and containment, mitigating the attack's effects, preventing the network and connected devices from being compromised. We develop and implement the “Moving Target Defense” (MTD) Technology in the IoT devices (medical imaging equipment, etc.). WE protect the communication that IoT devices communicate to assure nothing comes in or goes out from attacks. We prevent breached devices from compromising the network. The MTD obfuscates the local network hosts to hackers from inside (LAN: Wi-Fi attacks) and outside (WAN: Vulnerabilities Scans, MiM attacks, etc.).  With our Deception Technology (MTD Plus), we can detect, analyze and defend against zero-day and against advanced attacks.",,,,Seed
SecureStack,https://www.crunchbase.com/organization/securestack,"Cloud Infrastructure, Cloud Security, Cyber Security, SaaS","Gold Coast, Queensland, Australia",SecureStack is a cloud security platform that allows companies build secure infrastructure anywhere.,"38,229",11/7/17,day,https://securestack.com,info@securestack.com,"What's running in your cloud, and what's the associated risk?  Cloud sprawl is a real problem, especially in a multi-cloud environment.  Multiple teams, using multiple stacks, spread across a large enterprise cloud and managed separately breeds complexity.  That chaotic environment with its duplication increases your costs and risk.  SecureStack fixes that.  The SecureStack platform lets companies build secure infrastructure anywhere with our build once, deploy anywhere orchestration. Everything you build and manage with SecureStack will be hardened and secure out of the box.   . Our intelligent automation manages security controls across your distributed infrastructure using rules and profiles you create. Your cloud instances create great security data, but the problem has been, how do you get access to it?  With SecureStack you get security data and insights delivered effortlessly.  Logging and centralizing of that data is handled for you. SecureStack: We secure your cloud.",144000,AUD,103973,Seed
