Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,New
Virsec,https://www.crunchbase.com/organization/virsec-systems-3,"Cloud Security, Computer, Cyber Security, Network Security, Software","San Jose, California, United States",Virsec is a cybersecurity company delivering a radically new approach to protect enterprises from advanced attacks,"5,768",2014-01-01,year,http://virsec.com/,wleichter@virsec.com,"Virsec has pioneered technology to protect critical applications from the inside, protecting processes in memory and pinpointing attacks in real-time, within any application. Through its patented Trusted Execution™ technology, Virsec maps acceptable application execution, and instantly detects deviations caused by attacks. This deterministic process takes the guesswork out of cybersecurity, detecting and blocking application attacks within milliseconds, with precise forensics at every step. ",31589724,USD,31589724,Early Stage Venture,In Contact
Trillium Secure,https://www.crunchbase.com/organization/trillium-2,"Artificial Intelligence, Automotive, Blockchain, Cyber Security, Internet of Things, Security, Transportation","Sunnyvale, California, United States",Trillium Secure provides an Edge to Edge Automotive Cybersecurity Platform.,"7,377",2014-01-01,year,https://trilliumsecure.com,contact@trilliumsecure.com,"Trillium Secure keeps autonomous vehicles safe and delivers access to monetizable vehicle-generated data for transportation providers through its Trusted Mobility Platform. Trillium’s Trusted Mobility Services are powered by blockchain, smart contracts, and AI to ensure immutable trust in content delivery, ridesharing or asset management, and other high-value downstream services. The Trusted Mobility Platform and Services are built on an award-winning suite of on-vehicle self-defending security technologies and off-vehicle self-learning cloud security solutions.",15000000,USD,15000000,Early Stage Venture,In Contact
Bricata,https://www.crunchbase.com/organization/bricata,"Cloud Security, Computer, Cyber Security, Intrusion Detection, Network Security, Security","Columbia, Maryland, United States","Bricata’s mission is to develop innovative, extensible network security solutions that deliver superior long-term value to our customers.","8,320",2014-01-01,year,http://www.bricata.com/,info@bricata.com,"Bricata network security solutions deliver innovative next generation intrusion prevention, advanced threat detection and analysis, and threat hunting to enable large organizations to actively pursue and identify advanced, persistent, and coordinated attacks. A specialized component-based approach to today’s attacks has left organizations with a stack of tools to manage that provide a patchwork of uncorrelated data, leaving penetrable gaps and inconsistent security policies. The Bricata platform provides organizations with process automation, streamlining operations with the most effective, affordable solution for situational awareness and proactive threat defense, reducing complexity, dwell time and time to containment.",13250000,USD,13250000,Early Stage Venture,New
SCADAfence,https://www.crunchbase.com/organization/scadafence,"Cyber Security, Homeland Security, Network Security, Security","Tel Aviv, Tel Aviv, Israel","SCADAfence is a pioneer in securing manufacturing industries such as chemical, pharmaceutical, food & beverage and automotive","9,000",2014-01-01,year,http://www.scadafence.com,info@scadafence.com,"SCADAfence offers cutting edge cybersecurity solutions designed to ensure the operational continuity of industrial (ICS/SCADA) networks. Our expertise is in smart manufacturing sectors which are adopting Industrial IoT/Industry 4.0 technologies, such as pharmaceutical, chemical, food & beverage and automotive. SCADAfence's passive solution is designed to reduce operational risks such as downtime, process manipulation and theft of sensitive proprietary information. The company offers a comprehensive solution suite that includes continuous real-time monitoring of the industrial environment as well as lightweight tools designed to automate the process of security assessment. Our solutions offer visibility of day-to-day operations, detection of cyber-attacks and forensics tools designed to improve responsiveness. SCADAfence is based in Tel-Aviv, Israel.",10000000,USD,10000000,Early Stage Venture,In Contact
Cymmetria,https://www.crunchbase.com/organization/cymmetria,"Cyber Security, Network Security, Security","Palo Alto, California, United States",Cymmetria is a cybersecurity startup working to tilt the asymmetry of cyber so that hackers are the ones left vulnerable.,"9,168",2014-01-01,year,http://www.cymmetria.com/,info@cymmetria.com,"Cymmetria is a cybersecurity company at the forefront of deception technology. Cymmetria’s deception products, MazeRunner and ActiveSOC, give organizations the ability to hunt attackers, detect lateral movement inside the perimeter, automate incident response, and mitigate attacks. The company also offers deception as a service, enabling organizations to customize deception technologies for their business environment. Founded in 2014 by security expert Gadi Evron, Cymmetria is changing the asymmetry of cybersecurity, giving defenders the upper hand.",10600000,USD,10600000,Early Stage Venture,In Contact
HanSight,https://www.crunchbase.com/organization/hansight,"Big Data, Cyber Security, Security","Beijing, Beijing, China",HanSight is dedicated to changing the cyber security landscape based on intelligent big data security analytics approach.,"9,557",2014-01-01,year,http://www.HanSight.com,contact@HanSight.com,"HanSight is dedicated to changing the cyber security landscape based on their award-winning big data analytics platform and patented machine learning algorithms, by unifying SIEM, User & Entity Behavior Analytics (UEBA) and Network Traffic Analytics (NTA). Their mission is to empower organizations to detect and prevent to cyber breaches, fraud and insider threats that threaten their digital property and financial assets, in real time and with greater accuracy than ever before.  With the vision ""Data Driven Security"", HanSight was founded in 2014 by seasoned entrepreneurs from Trend Micro, Microsoft and Oracle, with extensive experience in security analytics, big data technology and machine learning.  They are backed by world-class ventures including IDG Capital, CASH Capital etc, and trusted by large-scale banks, telcos and government agencies. They are ranked #320 on Cybersecurity 500 list in 2017.",21364484,USD,21364484,Late Stage Venture,New
NodeSource,https://www.crunchbase.com/organization/nodesource,"Application Performance Management, Cloud Infrastructure, Cloud Security, Cyber Security, Enterprise Software, Information Technology, Open Source, Software","San Francisco, California, United States",Building products focused on Node.js security and performance for the Enterprise.,"9,715",2014-01-01,year,https://nodesource.com/,u003eexample@yourdomain.com,NodeSource is The Node.js Company™. We are a technology company delivering enterprise-grade tools and software targeting the unique needs of running server-side JavaScript at scale.,33400000,USD,33400000,Early Stage Venture,New
"MagicCube, Inc.",https://www.crunchbase.com/organization/magiccube-inc,"Artificial Intelligence, Cloud Security, Cyber Security, Internet of Things, Mobile Payments, Network Security, Point of Sale","Santa Clara, California, United States","The Device Independent IoT Security Platform Protects against On-device, Cloud, & Network attacks Malware- listeners-Loggers - Infiltration","10,804",2014-01-01,year,http://www.magiccube.co,hello@MagicCube.co,"MagicCube is a device independent IoT security platform that protects against on-device, cloud, and network attacks. The MagicCube solution secures digital transactions on any device, in transit, and in the cloud with the same level of security as device hardware solutions without the complexity and cost associated with hardware deployments. Read more at CB Insights: https://www.cbinsights.com/company/magiccube",10700000,USD,10700000,Early Stage Venture,New
SafeGuard Cyber,https://www.crunchbase.com/organization/safeguard-cyber,"Cyber Security, Financial Services, Health Care, Information Technology, Risk Management, Security","Charlottesville, Virginia, United States",SafeGuard Cyber is a cloud-based technology that protects a company’s social assets from security threats and compliance risk factors.,"11,834",2014-01-01,year,https://www.safeguardcyber.com/,info@socialsafeguard.com,"SafeGuard Cyber provides end-to-end digital risk protection. Their platform is a single solution to detect, prevent, and defend against threats in all your digital channels. They empower enterprise business to embrace new technologies and innovate Without Fear. SafeGuard Cyber is a cloud-based technology that protects a company’s social assets from security threats and compliance risk factors such as malware, spam, rouge accounts, inappropriate conduct, and personal information. SafeGuard Cyber automates the process of identifying, remediating, and archiving the words, phrases, concepts, files, and images within a social media post that create risk for your company, in real-time. SafeGuard Cyber is able to monitor social media pages, individual accounts, and internal collaboration tools to ensure comprehensive compliance and security protection across all social channels.  SafeGuard Cyber empowers companies to leverage the power of social media while simultaneously avoiding bad press, brand damage, and legal repercussions that are associated with the use of social media. SafeGuard Cyber also empowers companies to comply with company-specific corporate governance standards in addition to protection from industry-specific regulations ",14857065,USD,14857065,Early Stage Venture,In Contact
Jscrambler,https://www.crunchbase.com/organization/jscrambler,"Cyber Security, Security, Web Apps, Web Development","Porto, Lisboa, Portugal",Jscrambler is the leading client-side security solution for JavaScript protection and webpage real-time monitoring.,"13,296",2014-01-01,day,https://jscrambler.com/,hello@jscrambler.com,"Jscrambler provides enterprise-grade security solutions that secure the client-side of web and mobile applications. Jscrambler's Code Integrity module applies the most advanced JavaScript obfuscation techniques combined with polymorphic behavior, code locks, self-defending capabilities, and threat monitoring. With these security layers, JavaScript applications become self-defensive and resilient to tampering and reverse-engineering, which enables preventing counterfeit applications, enforcing license agreements, and protecting intellectual property and important algorithms. Jscrambler's Webpage Integrity module provides real-time visibility of client-side attacks, including DOM tampering, supply chain attacks, and customer hijacking. The Jscrambler dashboard displays precise and actionable detail of the injected code to enable a swift response. Webpage Integrity is a truly agentless solution which can easily be integrated into any SIEM. All Jscrambler products are fully compliant with all the main tech frameworks and stacks, including HTML5, Node.js, React, Angular, Vue, Meteor, Ember, React Native, Ionic, and NativeScript. Trusted by the Fortune 500 and over 43.000 companies and individuals across 145 countries.",2300000,USD,2300000,Early Stage Venture,In Contact
Minerva Labs,https://www.crunchbase.com/organization/minerva-labs,"Cyber Security, Security","Tel Aviv, Tel Aviv, Israel",Minerva Labs is cybersecurity company that offers a unique low footprint endpoint prevention platform.,"13,852",2014-01-01,year,http://www.minerva-labs.com/,contact@minerva-labs.com,"Minerva Labs is an innovative endpoint security solution provider that protects enterprises from today's stealthiest attacks without the need to detect threats first, all before any damage has been done. Minerva Labs Anti-Evasion Platform blocks threats which bypass antivirus and other baseline protection solutions by deceiving the malware and controlling how it perceives its environment. Without relying on signatures, models or behavioral patterns, Minerva Labssolution deceives the malware and causes it to disarm itself, thwarting it before the need to engage costly security resources. Headquartered in Petah Tikva, Israel, and with offices in New York and Atlanta, Minerva Labs boosts customers' existing defenses without the need to embark upon a costly and risky overhaul of their entire endpoint security architecture.  To learn more about Minerva, visit www.minerva-labs.com.",7500000,USD,7500000,Early Stage Venture,In Contact
empow cyber security,https://www.crunchbase.com/organization/empow-cyber-security,"Cyber Security, Information Technology, Security","Boston, Massachusetts, United States",empow is a cyber security startup which is introducing a new approach to the security arena,"16,179",2014-01-01,year,http://www.empownetworks.com/,info@empownetworks.com,"Different attacks require different tools. That’s a truth no provider wants to admit. That’s why empow de-constructs your existing security tools into their individual components. Our understanding of the strengths and weaknesses of each means that when we identify an event, we correlate intent with the best available response capability – and instantly re-assemble and deploy an entirely new security apparatus. One of our clients was spending over $15MM on more than 700 solutions.",19000000,USD,19000000,Early Stage Venture,New
Virgil Security,https://www.crunchbase.com/organization/virgil-security,"Cloud Security, Cyber Security, Developer APIs, Developer Platform, Developer Tools, Internet of Things, Network Security","Manassas, Virginia, United States",Virgil Security provides easy-to-deploy and easy-to-use cryptographic software and services for use by developers and end-users.,"17,169",2014-01-01,year,http://virgilsecurity.com,support@virgilsecurity.com,"Virgil Security provides easy-to-deploy and easy-to-use cryptographic software and services for use by developers and end-users. Virgil Security’s encryption libraries and services, along with an accompanying public key management infrastructure, ease the pain of developing, deploying, and using strong cryptography. Virgil Security enables a new generation of enhanced privacy and security for applications, cloud services, and the Internet of Things.",4875000,USD,4875000,Early Stage Venture,In Contact
imVision Technologies,https://www.crunchbase.com/organization/imvision-technologies,"Cyber Security, Information Technology, Security, Telecommunications, Video","Ramat Gan, Tel Aviv, Israel",NFV SDN Service Anomaly – Detection and Remedy,"20,240",2014-01-01,year,http://www.imvisiontech.com,info@imvisiontech.com,imVision is a cyber security startup company that operates in NFV/SDN environments. The company quickly became a market leader for anomaly detection and isolation solutions. These were based on unique Correlative Behavioral Analysis (C-BA) algorithms that specialize in service awareness across the entire network.,4000000,USD,4000000,Early Stage Venture,In Contact
Protected Media,https://www.crunchbase.com/organization/protected-media,"Advertising Platforms, Cyber Security, Security, Software","Tel Aviv, Tel Aviv, Israel",Protected Media has developed the next gen of fraud/bot detection system,"20,585",2014-01-01,year,https://www.protected.media/,Info@protected.media,"With Protected Media, you can stop paying for fake traffic and invest your time and energy in real audiences. You can stop making critical campaign decisions based on fraudulent data, and start relying on real, verified numbers.  With Protected Media you can take control of your campaign and do so easily – seamlessly integrating advanced cybersecurity technology into your current workflow and systems.  Our easy to implement cyber security layer ensures that every ad – display, mobile or video – is properly located, visible, and seen by real people. The moment we detect any fraudulent action, we alert you in the timeliest and useful manner.",4000000,USD,4000000,Early Stage Venture,In Contact
Cronus Cyber Technologies,https://www.crunchbase.com/organization/cronus-cyber-technologies,"Cyber Security, Information Technology, Network Security, Security, Virtualization","Haifa, Hefa, Israel",Cronus Cyber Technologies offers software solutions for the automated penetration testing market.,"21,321",2014-01-01,year,https://cronus-cyber.com/,sales@cronus-cyber.com,"Cronus has developed the CyBot - a virtual hacker which can mimic the common patterns of a normal hacker, allowing companies to simulate penetration scenarios. The startup’s algorithm automatically identifies potential vulnerabilities and follows up by testing the soft spots, shining a spotlight for the IT department on how to prevent a security breach.",5700000,USD,5700000,Early Stage Venture,In Contact
Cog,https://www.crunchbase.com/organization/cog,"Cyber Security, Enterprise, Enterprise Software, Internet of Things, Mobile, Mobile Devices, National Security, Security, Software","Lake Zurich, Illinois, United States",We virtualize IoT. Cyber security focused on the connected device marketplace.,"21,911",2014-01-01,year,https://cog.systems/,info@cog.systems,"We Secure IoT.   Cog Systems has been preparing for the revolution in connected device architecture since 2014.  We couple the same techniques of modularity used in cloud computing with the fundamentals of security, trustworthiness, robustness and adaptability to enable highly secure connected devices.    Cog Systems leverages our D4 Secure Platform to isolate critical functions and services on IoT. This approach pro-actively secures these devices by reducing the attack surface and also increases reliability by eliminating single points of failure.  Cog Systems embeds additional security features of double encryption, non-bypassable VPNs, nested VPNs, and secure boot to protect both data at rest and data in transit. The system can scale linearly and infinitely, thus reducing bottlenecks and preserving performance.  All of this is available for the IoT commercial market with the flexibility to run any and all applications effectively and securely.   This unique approach provides the assurance of defense grade security so our customers can focus on delivering best-in-class applications, performance and usability.   Cog Systems, based in Sydney, Australia, leads the industry in secure connected device implementations with 30+ deployments across world governments, defense organizations and corporate enterprises. ",3500000,USD,3500000,Early Stage Venture,In Contact
SecureSet,https://www.crunchbase.com/organization/secure-set,"Cyber Security, Education, Network Security","Denver, Colorado, United States",SecureSet Academy is a premier educational resource for launching or accelerating your cybersecurity career.,"21,989",2014-01-01,year,https://www.secureset.com,info@secureset.com,"SecureSet Academy provides aspiring talent with a powerfully direct pathway into the cybersecurity industry in a minimum amount of time—and improves the supply-side of this national challenge. SecureSet's Academy programming includes technical information security education, hands on instruction in our state-of-the-art lab, guided product training, and essential certifications.",5980000,USD,5980000,Early Stage Venture,New
IronNet Cybersecurity,https://www.crunchbase.com/organization/ironnet-cybersecurity,"Computer, Cyber Security, Network Security","Fulton, Maryland, United States",IronNet Cybersecurity is a network security company that bridges gap between traditional cybersecurity approaches and evolving threat.,"22,862",2014-01-01,year,http://ironnetcyber.com,,"IronNet Cybersecurity is uniquely positioned the gap between traditional cybersecurity approaches and this rapidly evolving threat grows wider.  Every day, cyber threats grow more sophisticated, intrusive, disruptive and costly. And as recent headlines have made clear, these attacks are increasingly the work of nation-states and sophisticated criminal gangs. Countless billions of dollars worth of corporate secrets, private customer information and brand reputations have already been lost, or are at risk.",110500000,USD,110500000,Early Stage Venture,In Contact
Cyemptive Technologies,https://www.crunchbase.com/organization/cyemptive-technologies,"Cyber Security, Electronics, Information Services, Information Technology","Woodinville, Washington, United States",Cyemptive Technologies is a provider of failsafe cybersecurity solutions that do not rely on the traditional detect.,"27,693",2014-01-01,year,http://www.cyemptive.com/,info@cyemptive.com,Cyemptive Technologies is a provider of failsafe cybersecurity solutions that do not rely on the traditional detect.,3497420,USD,3497420,Early Stage Venture,In Contact
CHEQ,https://www.crunchbase.com/organization/cheq,"Advertising, Artificial Intelligence, Cyber Security","Tel Aviv, Tel Aviv, Israel",CHEQ is an AI-driven cybersecurity company disrupting the ad-verification space.,"38,457",2014-01-01,year,https://www.cheq.ai/,info@cheq.com,"CHEQ is an AI-driven cybersecurity company disrupting the ad-verification space by introducing fully autonomous, preemptive technology for brand safety and ad-fraud prevention.  .",5000000,USD,5000000,Early Stage Venture,In Contact
Ticto,https://www.crunchbase.com/organization/ticto,"Cyber Security, Information Services, Information Technology, Network Security, Security","San Francisco, California, United States",Ticto is an information tech company that offers a security wearable that provides instant visual verification of authorized presence.,"41,618",2014-01-01,day,http://www.ticto.com,info@ticto.com,"Ticto is an information tech company that offers a security wearable that provides instant visual verification of authorized presence. Ticto is a new and groundbreaking startup in the field of security and presence control. The company is rapidly growing and are looking for people to join them. The founding team consists of senior executives in the smart card and ICT domain, technology startup entrepreneurs and security industry experts.",5600000,EUR,6254030,Early Stage Venture,New
Threat X,https://www.crunchbase.com/organization/threat-x,"Cyber Security, Information Technology, Service Industry","Louisville, Colorado, United States",COMPREHENSIVE WEB APPLICATION FIREWALL (WAF) SECURITY SOLUTION FOR TODAY’S HYBRID CLOUD,"48,681",2014-01-01,year,https://www.threatx.com/,,"Threat X is the only SaaS-based web application firewall (WAF) solution that enables enterprises to confidently secure all their web applications against a rapidly evolving threat landscape.​ Purpose built for the hybrid-cloud, Threat X delivers complete visibility and the most precise threat detection and neutralization capabilities available by combining progressive behavior profiling, collective threat intelligence, and deep analytics with a managed service. Threat X eliminates the false positives and maintenance burdens associated with 1st generation WAFs and static, rule-based solutions. ",8200000,USD,8200000,Early Stage Venture,In Contact
ZP Group,https://www.crunchbase.com/organization/zp-group,"Cyber Security, Information Technology","Mclean, Virginia, United States",Premium cybersecurity services and solutions Company.,"114,836",2014-01-01,year,http://www.zpgroup.com/,,"ZP Group provides niche services and solutions across cyber strategy, consulting, technology and compliance .ZP Group owns and operates a portfolio of niche companies that work interdependently to satisfy their customers' most pressing needs. Their organizational structure allows their clients to maximize the depth and breadth of their capabilities, across operating companies.",,,,Late Stage Venture,New
IDsManager,https://www.crunchbase.com/organization/idsmanager,"Cloud Computing, Cyber Security, Mobile Apps","Beijing, Beijing, China",IDsManager is a cloud identity service platform.,"215,931",2014-01-01,year,http://idsmanager.com/,info@idsmanager.com,"IDsManager is a cloud identity service platform provided by Kyushu Yunteng. Based on the traditional account, authentication, authorization, and auditing 4A, they add our unique application store to form a 5A platform that can provide a unified portal for enterprise users and developers. Rapid development and application integration can be based on this platform. ",,,,Early Stage Venture,New
ARX Defence,https://www.crunchbase.com/organization/arx-defence,"Computer, Cyber Security, Electronics, Information Technology, Manufacturing, Security","Scotland, Indiana, United States","We design, manufacture and deploy effective and sustainable security.","278,543",2014-01-01,year,http://www.arxdefence.com,enquires@arxdefence.com,"We design, manufacture and deploy effective and sustainable security, operational and safety products to protect and support your people, assets and reputation. We specialise in maritime technology with a growing range of innovative products. Here at ARX we are driven by innovation, through identifying and solving current problems and areas of risk presented by today’s maritime market. Our solutions have been designed by technical maritime experts with insight and feedback from current customers and industry experts.",,,,Early Stage Venture,New
Everspin,https://www.crunchbase.com/organization/everspin,"Cyber Security, Mobile Apps, Network Security","Seoul, Seoul-t'ukpyolsi, South Korea",Cybersecurity company that invented the world's first dynamic security module.,"5,272",2014-02-28,day,http://www.everspin.global,everspin@everspin.co.kr,"Founded in 2014, Everspin has brought in a new paradigm in the world cybersecurity market with its dynamic security module technology. Everspin's unparalleled innovation has come from a simple, but unprecedented idea: If hacking occurs when enough time is given to hackers, why not cut down such time?  After years of R&D, Everspin has found a way to solve the fundamental problem that all of the existing mobile cybersecurity solutions entail: security modules are placed in the user’s app and they do not change until the app is updated, which inevitably renders mobile apps vulnerable to hacking. Everspin’s technology enables its security module to be sent by Everspin server to the app and constantly replaced by a new module, which settles the issues that come from the location and invariability of the current solutions.  Though its products are currently targeting the mobile app market, Everspin with its highly versatile technology is expected to launch its service for Web/PC, server and IoT in the near future.  ■ Solution Features: -App/OS/Memory forgery prevention. -Real-time hacking detection. -Instant security update to multiple types of devices without any user-side program update. ■ Credibility -First ever to pass all the security tests by National Security Research Institute in Korea(100% blocking rate for 3,000++ hacking attempts). -Within 1year sales, secured 23cutomers including 3/5 of major banks in Korea. -SBI Holdings to gradually implement Everspin solution to all of its 200++ subsidiaries around the world.",25811985,USD,25811985,Early Stage Venture,In Contact
TruSTAR Technology,https://www.crunchbase.com/organization/trustar-technology,"Cyber Security, Security","San Francisco, California, United States",TruSTAR is the first security intelligence exchange platform built to incentivize information sharing.,"12,724",2014-03-01,day,https://www.trustar.co/,,"TruSTAR is the first security intelligence exchange platform built to incentivize information sharing among enterprises. As companies see data relevant to them they can easily submit, sanitize, and share data to discover how cyber incidents relate to other companies. TruSTAR's vetted network includes elite enterprise cyber security teams from across sectors and around the world. The TruSTAR team is led by a seasoned team of domain specialists in intelligence sharing, cyber security, and product development. The company is led by Co-Founders Paul Kurtz, former White House cybersecurity advisor and private sector security executive; Patrick Coughlin, former security operator turned tech entrepreneur; and Dave Cullinane, former CISO of eBay. TruSTAR's offices are located in San Francisco, California and McLean, Virginia.",7000000,USD,7000000,Early Stage Venture,In Contact
Signal Sciences,https://www.crunchbase.com/organization/signal-sciences,"Cyber Security, Information Technology, SaaS, Security, Software, Web Apps","Culver City, California, United States",Signal Sciences is a software as a service platform providing security monitoring and defense for your web application.,856,2014-03-10,day,https://www.signalsciences.com/,info@signalsciences.com,"Signal Sciences is the fastest growing web application security company in the world. With its award-winning next-gen WAF and RASP solution, Signal Sciences protects over 10,000 applications and over a trillion production requests per month. Signal Sciences’ patented architecture provides organizations working in a modern development environment with comprehensive and scalable threat protection and security visibility. The company works with some of the world’s most recognizable companies, like Under Armour, Adobe and WeWork, across industries, including five of the top ecommerce companies, five of the largest software companies, in addition to many others in the financial services, retail, healthcare, media and entertainment, and government sectors. In 2018, Signal Sciences won Technology of the Year from InfoWorld and Computing's DevOps Excellence Award for Best DevOps Security Tool. For more information, visit Signal Sciences or follow @SignalSciences.",61700000,USD,61700000,Late Stage Venture,In Contact
Bastille Networks Internet Security,https://www.crunchbase.com/organization/bastille-networks-2,"Cyber Security, Internet of Things, Security","San Francisco, California, United States",Bastille provides threat detection and security for the Internet of Things.,"7,700",2014-03-20,day,https://www.bastille.net,info@bastille.net,"Founded in 2014, Bastille is the leader in enterprise threat detection through software-defined radio.  Bastille provides full visibility into the known and unknown mobile, wireless and Internet of Things (IoT) devices inside an enterprise’s corporate airspace. Through its patented software-defined radio and machine learning technology, Bastille senses, identifies and localizes threats, providing security teams the ability to accurately quantify risk and mitigate airborne threats that could pose a danger to network infrastructure.",39000000,USD,39000000,Early Stage Venture,New
HYPR,https://www.crunchbase.com/organization/hyprcorp,"Cyber Security, Identity Management, Mobile, Security","New York, New York, United States",HYPR is the leading provider of True Passwordless Security with millions of users deployed across the Global 2000.,"2,112",2014-04-01,day,https://www.hypr.com/,getsecured@hypr.com,"HYPR is the leading provider of True Passwordless Security with millions of users deployed across the Global 2000. Shared secrets are the #1 cause of enterprise breaches, fraud and phishing attacks. HYPR is the first Authentication Platform designed to eliminate passwords and shared secrets - effectively removing the hackers’ primary target while eliminating fraud, phishing and credential reuse for consumers and employees across the enterprise. Trust Anyone.",13800000,USD,13800000,Early Stage Venture,In Contact
EclecticIQ,https://www.crunchbase.com/organization/eclecticiq,"Cyber Security, Fraud Detection, Risk Management, Security, Software","Amsterdam, Noord-Holland, The Netherlands",EclecticIQ is a global provider of Cyber Threat Intelligence technology solutions and Fusion Center operator.,"3,889",2014-04-01,day,https://www.eclecticiq.com/,info@eclecticiq.com,"EclecticIQ enables intelligence-powered cybersecurity for government organizations and commercial enterprises. We develop analyst-centric products and services that align our clients’ cybersecurity focus with their threat reality. The result is intelligence-led security, improved detection and prevention, and cost-efficient security investments. Our solutions are built specifically for analysts across all intelligence-led security practices such as threat investigation, and threat hunting, as well as incident response efforts. And we tightly integrated our solutions with our customers’ IT security controls and systems. EclecticIQ operates globally with offices in Europe, United Kingdom, and North-America, and via certified value-add partners.",20455000,EUR,23850413,Early Stage Venture,In Contact
Infocyte,https://www.crunchbase.com/organization/infocyte-inc,"Cyber Security, Network Security","Austin, Texas, United States",Cyber security company specializing in Enterprise Breach Discovery,"5,700",2014-04-28,day,http://www.infocyte.com,info@Infocyte.com,"Infocyte is a developer of proactive cyber security solutions designed to identify threats and unauthorized activity on enterprise networks.    Through their technology, Infocyte is pioneering the first objective breach discovery assessment that is both fast and affordable enough to perform regularly. Technology: The Pulse Intrusion Assessment Platform is an agent-less, on-premises appliance that scans network endpoints (ie. workstations and servers) for the presence of malware or unauthorized activity. The platform departs from traditional intrusion detection methods (ie. anti-virus) by combining patent-pending memory scanning techniques with signature-less forensic methods typically used in more expensive incident response services. The technology enables a 3rd party to scan a network to discover compromises, malware, and unauthorized activity six times faster than existing methods.",9300000,USD,9300000,Early Stage Venture,In Contact
DefenseStorm,https://www.crunchbase.com/organization/praesidio-inc-,"Banking, Cloud Data Services, Compliance, Cyber Security, FinTech, Information Technology","Alpharetta, Georgia, United States",DefenseStorm provides a cloud-based cybersecurity management platform.,"2,706",2014-05-01,day,https://www.defensestorm.com/,info@defensestorm.com,"DefenseStorm provides a cloud-based cybersecurity management platform. Its platform offers bank, management oversight and reporting, smart threat response, security expert, big data, and community intelligence solutions.  Edgardo Nazario, Harold Brewer, Jeffrey Lunsford, and Sean Cassidy founded Praesidio on May 1, 2014 that became DefenseStorm in June 2016. It has its headquarters in Seattle in Washington.",29899999,USD,29899999,Early Stage Venture,In Contact
Rhebo,https://www.crunchbase.com/organization/rhebo,"Cyber Security, Information Technology, Infrastructure, Security","Leipzig, Sachsen, Germany",Rhebo safeguards industrial control systems and critical infrastructure against downtimes and cyber attacks.,"23,235",2014-05-01,month,http://rhebo.com/en/,info@rhebo.com,Rhebo Industrial Protector monitors the continuous operation of Industrial Control Systems to prevent outages and reduce downtimes. Its fully automatic anomaly detection guarantees maximum operational security and protection from cyberattacks. Operators of automated production and critical infrastructures benefit from Rhebo’s solution by enormous cost savings due to the reduction of system outages.,3500000,EUR,4009080,Early Stage Venture,New
SlashNext,https://www.crunchbase.com/organization/slashnext,"Cyber Security, Security, Software","Pleasanton, California, United States",Close the phishing gap with superior protection from today’s - and tomorrow’s - most advanced HTML-based phishing threats,"5,062",2014-06-01,month,https://www.slashnext.com/,info@slashnext.com,"Over 90% of breaches begin with phishing. While email phishing still occurs, SlashNext protects your employees from the growing threat landscape of phishing attacks beyond email. These socially engineered attacks evade existing firewall, AV, SWG, and endpoint protection defenses with HTML-based threats delivered via ads, search, pop-ups, browser extensions, social media, chat, and malicious “free” apps. SlashNext is the industry’s first purpose-built solution for Web-based phishing protection. With SlashNext, phishing attacks originating from the Web are detected as they occur, enabling blocking near the start of the kill chain - before they can inflict significant damage.",9000000,USD,9000000,Early Stage Venture,In Contact
Panaseer,https://www.crunchbase.com/organization/panaseer,"Big Data, Cyber Security, Enterprise Software, Information Technology","London, England, United Kingdom","Panaseer automatically consumes and analyses data from security, IT and business solutions, provide complete and accurate visibility.","5,240",2014-06-01,month,http://panaseer.com,info@panaseer.com,"Panaseer automatically consumes and analyses data from security, IT and business solutions, to provide complete and accurate visibility into an organisation’s security risks and Cyber Hygiene, from enterprise-level down to individual devices. Panaseer is the perfect CISO’s companion; a single source of truth to focus efforts across the enterprise on where there’s the greatest return in risk reduction. By giving analysts the power to model data at scale and freeing IT teams from fire-fighting, the Panaseer platform drives continuous, enterprise-wide improvement. It is a powerful tool for understanding, managing and improving risk posture and cyber hygiene practices.",15500000,USD,15500000,Early Stage Venture,In Contact
Indegy,https://www.crunchbase.com/organization/indegy,"Cyber Security, Industrial, Infrastructure","New York, New York, United States","Indegy, a leader in industrial cyber security, protects operations (OT) networks from cyber threats,  malicious insiders and human error.","2,841",2014-07-01,day,http://www.indegy.com/,info@indegy.com,"The Indegy Industrial Cyber Security Suite arms security and operations teams with full visibility, security and control of industrial control systems (ICS) activity and threats by combining hybrid, policy-based  monitoring and network anomaly detection with unique device integrity checks. Indegy solutions are installed in  manufacturing, pharmaceutical, energy, water and other industrial organizations around the world.",36000000,USD,36000000,Early Stage Venture,In Contact
Teramind,https://www.crunchbase.com/organization/teramind-inc,"Cyber Security, Enterprise Software, Security","New York, New York, United States",Workforce Monitoring & Insider Threat Prevention,"14,238",2014-07-01,day,http://www.teramind.co,hello@teramind.co,"Teramind provides a user-centric security approach to monitor employee behavior. Our software streamlines employee data collection in order to identify suspicious activity, detect possible threats, monitor employee efficiency, and ensure industry compliance.",6000000,USD,6000000,Early Stage Venture,In Contact
